,V1,V2,V3,VP,V3A,V4,VOT,V4t,MT,FST,PITd,PIT,PITv,CITd,CIT,CITv,AITd,AITv,STPp,STP,STPa,TF,TH,MSTd,MSTI,PO,PIP,LIP,VIP,MIP,MDP,DP,7a,FEF,46
V1,x,2,2,.,2,2,.,NR,2,.,.,,.,.,,.,.,.,.,,.,.,.,.,?,2,2,.,.,.,.,.,.,.,.
V2,2,x,1,2,2,2,2,2,2,2,.,,.,.,,.,.,.,.,,.,.,.,2,2,2,2,.,2,.,.,.,.,?,.
V3,2,1,x,,1,1,.,1,2,2,.,,.,.,,.,.,.,.,,.,1,.,2,.,2,1,1,1,.,.,,.,?,.
VP,.,2,1,x,1,1,1,.,2,2,.,,.,.,,.,.,.,.,,.,1,.,2,.,2,1,,1,.,.,,.,?,.
V3A,2,1,1,1,x,1,,,2,2,.,,.,.,,.,.,.,.,,.,.,.,2,2,2,,,,.,.,2,.,?,.
V4,2,2,1,1,1,x,,1,2,2,2,,2,2,,2,.,1,.,,.,1,1,.,.,.,1,1,.,.,.,2,.,?,2
VOT,.,2,.,1,,1,x,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
V4t,2,,1,.,,1,,x,2,2,,,,,,,,,,,,,,NR?,2,2,,,,,,,,?,
MT,2,2,2,2,2,2,,2,x,2,.,,.,.,,.,.,.,.,,.,.,.,2,2,?,2,1,2,.,.,.,.,2,?
FST,.,NR?,2,NR?,2,2,,2,2,x,,2,,.,,.,.,.,2,,,2,,2,2,.,.,2,2,,,,2,2,.
PITd,.,.,.,.,.,2,,,.,,x,,,,,2,2,2,,,,,,,.,.,.,.,.,,,,.,,
PIT,,,,,,,,,,2,,x,,,,,,,,,,,,2,,,,,,,,,,2,2
PITv,.,.,.,.,.,2,,,.,,,,x,,,2,,2,,,,,,,.,.,.,,.,,,,.,,
CITd,.,.,.,.,.,1,,,.,,,,2,x,,,2,2,,,,,,.,.,.,.,.,.,,,,.,,
CIT,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,2,2
CITv,.,.,.,.,.,1,,,.,,,,2,,,x,2,2,,,,,,.,.,.,.,.,.,,,,.,,
AITd,.,.,.,.,.,.,,,.,.,,,2,,,2,x,,,,,,,.,.,.,.,.,.,.,.,,2,2,2
AITv,.,.,.,.,.,2,,,.,.,,,2,,,2,,x,,,.,2,2,.,.,.,.,.,.,.,.,,,,
STPp,.,.,.,.,.,.,,,.,2,,,,,2,,.,,x,,2,1,1,2,2,.,.,.,.,.,.,,,2,2
STP,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,2,,
STPa,.,.,.,.,.,.,,,.,,,,,,,,2,.,2,,x,1,1,,,.,.,.,.,.,.,,,,2
TF,.,.,1,1,.,2,,,.,2,,,2,,,2,2,2,2,,2,x,,2,,.,.,,.,.,.,,2,,2
TH,.,.,.,.,.,1,,,.,,,,2,,2,,2,2,2,,2,,x,.,.,.,.,.,.,.,.,,2,,2
MSTd,.,2,2,2,2,.,,2,2,2,,2,,.,,.,.,.,2,,,,,x,,2,,2,2,,,2,2,2,
MSTI,NR,2,.,.,2,.,,NR?,2,2,.,.,.,.,,.,.,.,2,,,,,,x,2,.,,2,,,NR?,NR?,2,
PO,2,,,,,.,,,2,.,.,,.,.,,.,.,.,.,,.,.,.,2,2,x,,1,2,,,2,2,?,
PIP,2,,1,1,,1,,,2,,.,,.,.,,.,.,.,.,,.,,,,,2,x,,,,,2,2,,
LIP,.,,1,2,2,1,,,1,2,.,,2,.,,.,.,.,,,,2,.,2,2,2,,x,1,,,2,2,2,2
VIP,.,,1,,,,,,2,2,.,,.,.,,.,.,.,,,,,,2,2,2,,1,x,,,,2,2,
MIP,.,.,.,.,.,.,,,.,.,.,,.,.,,.,.,.,,,,,,.,.,2,,,,x,,,2,,
MDP,.,.,.,.,.,.,,,.,.,.,,.,.,,.,.,.,,,,,,.,.,2,,,,,x,,2,,
DP,.,.,.,.,2,2,,,.,2,.,,.,.,,.,.,.,.,,.,.,.,2,2,2,2,2,,,,x,2,,2
7a,.,.,.,.,.,.,,,.,,.,,.,.,,.,2,,,2,,2,2,2,?,2,,2,,,,2,x,2,2
FEF,.,,,,,,,,?,2,,,,,2,,2,,2,,,,,2,2,2,,2,2,,,2,2,x,2
46,.,.,.,.,.,,,,,.,,,,,2,,2,,2,,2,2,2,.,,,,,,,,2,2,2,x
